symbol,name,close_price,volume,vol_vs_avg,change_in_percent,days_old
DAL,"Delta Air Lines, Inc.",55.48,11973655,1.58,2.21,402
UAL,United Continental Holdings,80.53,5041203,1.49,4.69,408
AAL,"American Airlines Group, Inc.",53.8,8342515,1.42,4.24,407
AXON,Axovant Sciences Ltd.,23.63,764457,1.38,6.97,405
HTLD,"Heartland Express, Inc.",21.85,557473,1.33,2.82,416
VSH,"Vishay Intertechnology, Inc.",17.25,1448292,1.31,2.99,404
GOL,Gol Linhas Aereas Inteligentes S.A.,14.56,530672,1.28,4.15,417
INST,"Instructure, Inc.",29.85,359239,1.19,2.93,418
ABCO,The Advisory Board Company,56.85,480194,1.19,1.88,407
PSTG,"Pure Storage, Inc.",13.31,2430987,1.16,4.64,410
STT,State Street Corporation,90.99,1960305,1.14,0.88,408
RXDX,"Ignyta, Inc.",10.4,1203429,1.13,4.0,409
IRDM,Iridium Communications Inc,11.0,864823,1.1,3.29,415
YY,YY Inc.,59.98,1323648,1.08,4.13,404
ALK,"Alaska Air Group, Inc.",94.63,1175502,0.95,3.34,407
GLW,Corning Incorporated,30.85,5351299,0.92,1.71,418
PGR,Progressive Corporation (The),44.86,2783162,0.92,0.63,412
RNG,"Ringcentral, Inc.",37.2,636730,0.85,2.48,409
MMC,"Marsh & McLennan Companies, Inc.",78.16,1341189,0.81,0.97,413
LNC,Lincoln National Corporation,70.61,1186932,0.8,0.63,413
CVLT,"CommVault Systems, Inc.",58.15,295967,0.79,2.2,402
FISV,"Fiserv, Inc.",123.44,644403,0.78,1.16,418
BG,Bunge Limited,76.77,1343878,0.77,1.67,405
ICPT,"Intercept Pharmaceuticals, Inc.",128.16,268383,0.72,2.53,416
PRU,"Prudential Financial, Inc.",111.21,1381448,0.71,0.51,411
LTM,LATAM Airlines Group S.A.,11.7,337372,0.67,3.45,42
FMC,FMC Corporation,75.53,789166,0.66,1.75,418
AMT,American Tower Corporation (REIT),133.88,1134675,0.65,2.25,406
RHI,Robert Half International Inc.,49.16,580542,0.64,1.55,410
NOMD,Nomad Foods,13.95,633763,0.6,2.65,379
SC,Santander Consumer USA Holdings Inc.,13.29,1403516,0.56,1.61,409
TMK,Torchmark Corporation,77.8,241125,0.52,0.45,408
SEE,Sealed Air Corporation,45.88,1161724,0.49,1.06,409
VNDA,Vanda Pharmaceuticals Inc.,16.7,233077,0.47,0.91,407
WETF,"WisdomTree Investments, Inc.",10.6,846109,0.43,1.92,404
EGHT,8x8 Inc,14.4,350368,0.42,2.49,401
