symbol,name,close_price,volume,vol_vs_avg,change_in_percent,days_old
RGA,"Reinsurance Group of America, Incorporated",130.99,206481,0.74,1.14,410
AF,Astoria Financial Corporation,20.51,542250,0.74,0.69,407
SIVB,SVB Financial Group,181.72,423907,0.73,2.6,408
USB,U.S. Bancorp,52.46,4401120,0.73,0.54,407
BLL,Ball Corporation,42.3,1782381,0.73,0.67,405
PSX,Phillips 66,82.6,1639423,0.73,0.87,411
LII,"Lennox International, Inc.",186.22,253908,0.73,1.26,414
AMN,AMN Healthcare Services Inc,38.25,454754,0.72,2.82,406
NKE,"Nike, Inc.",57.98,7978034,0.72,1.43,413
GRA,W.R. Grace & Co.,71.04,316367,0.72,0.95,417
CLNS,"Colony NorthStar, Inc.",14.39,2339449,0.72,2.42,403
INFY,Infosys Limited,15.04,4134489,0.72,0.67,415
LXU,"LSB Industries, Inc.",10.5,274420,0.72,1.65,413
JEC,Jacobs Engineering Group Inc.,54.82,654488,0.72,1.2,415
JLL,Jones Lang LaSalle Incorporated,126.19,208117,0.72,2.64,414
PGR,Progressive Corporation (The),44.99,2119316,0.71,1.26,412
AFG,"American Financial Group, Inc.",101.56,340885,0.7,0.81,407
TRV,"The Travelers Companies, Inc.",127.17,952164,0.7,0.78,408
GLW,Corning Incorporated,30.28,4241232,0.7,1.58,418
ECHO,"Echo Global Logistics, Inc.",20.1,180429,0.7,2.81,401
NDAQ,"The NASDAQ OMX Group, Inc.",71.63,598243,0.69,0.52,413
TLLP,Tesoro Logistics LP,52.4,243668,0.69,1.75,408
STL,Sterling Bancorp,23.65,858183,0.69,0.85,408
MRCY,Mercury Systems Inc,43.55,282988,0.68,3.49,413
FDX,FedEx Corporation,218.51,1038363,0.68,1.62,418
AN,"AutoNation, Inc.",41.8,888571,0.68,1.78,406
SCI,Service Corporation International,33.45,658584,0.67,1.39,409
CFFN,"Capitol Federal Financial, Inc.",14.2,324590,0.67,1.0,404
PNR,"Pentair, Ltd. Registered Share",66.63,626421,0.66,1.55,411
BZH,"Beazer Homes USA, Inc.",13.72,367593,0.66,3.63,404
ST,Sensata Technologies Holding N.V.,44.0,1076853,0.66,2.4,408
OMAM,OM Asset Management plc,15.18,601739,0.65,2.78,413
SKX,"Skechers U.S.A., Inc.",29.22,1925499,0.65,2.28,408
